Class_name,Value
juice-cardboard,246
detergent-transparent,88
glass-transp,30
bottle-blue,170
bottle-transp,385
cans,406
bottle-milk,114
detergent-white,99
milk-cardboard,383
bottle-oil,48
detergent-color,77
bottle-dark,76
bottle-yogurt,182
bottle-green,91
bottle-blue-full,4
bottle-multicolor,17
detergent-box,6
bottle-green-full,3
glass-green,6
bottle-blue5l,9
bottle-transp-full,8
canister,4
bottle-multicolorv-full,2
bottle-milk-full,1
glass-dark,1
bottle-dark-full,0
bottle-oil-full,0
bottle-blue5l-full,0
