iter	Passed	Remaining
0	59	5877
1	63	3127
2	67	2190
3	71	1712
4	74	1420
5	78	1228
6	81	1086
7	85	979
8	88	894
9	92	830
10	95	770
11	97	715
12	100	673
13	103	635
14	105	600
15	108	568
16	110	541
17	113	515
18	115	490
19	118	472
20	118	446
21	121	429
22	123	414
23	125	397
24	127	381
25	128	366
26	131	356
27	133	344
28	136	333
29	138	322
30	140	312
31	142	303
32	144	293
33	146	284
34	148	275
35	150	267
36	152	258
37	153	250
38	154	242
39	156	234
40	157	226
41	158	218
42	159	211
43	161	204
44	162	198
45	163	191
46	164	185
47	165	179
48	166	173
49	167	167
50	168	161
51	169	156
52	170	150
53	170	145
54	171	140
55	172	135
56	173	130
57	174	126
58	175	121
59	175	117
60	176	112
61	176	108
62	177	104
63	178	100
64	178	96
65	179	92
66	179	88
67	180	84
68	181	81
69	181	77
70	182	74
71	182	71
72	183	67
73	183	64
74	184	61
75	185	58
76	185	55
77	186	52
78	186	49
79	187	46
80	187	44
81	188	41
82	188	38
83	189	36
84	190	33
85	190	31
86	191	28
87	191	26
88	192	23
89	192	21
90	193	19
91	193	16
92	194	14
93	194	12
94	195	10
95	196	8
96	196	6
97	197	4
98	197	1
99	198	0
