FPS_GPU;FPS_CPU;P;R;mAP50;mAP95;Model;Dataset
49;4;0.566;0.505;0.503;0.386;yolov5l;WARP-D
61;6;0.538;0.445;0.444;0.333;yolov5m;WARP-D
80;18;0.524;0.436;0.452;0.321;yolov5n;WARP-D
79;13;0.596;0.48;0.52;0.402;yolov5s;WARP-D
41;2;0.639;0.49;0.512;0.404;yolov5x;WARP-D
14;3;0.675;0.503;0.555;0.435;yolov7x;WARP-D
14;5;0.614;0.531;0.53;0.41;yolov7;WARP-D
14;11;0.466;0.51;0.473;0.344;yolov7-tiny;WARP-D
35;2;0.573;0.488;0.536;0.433;yolov8x6;WARP-D
40;2;0.6;0.387;0.478;0.388;yolov8x;WARP-D
71;10;0.528;0.489;0.51;0.382;yolov8s;WARP-D
75;17;0.505;0.449;0.466;0.351;yolov8n;WARP-D
57;5;0.567;0.471;0.512;0.409;yolov8m;WARP-D
29;3;;;0.461;;faster-vgg16;WARP-D
44;3;;;0.467;;ssd;WARP-D
49;3;0.84;0.647;0.724;0.396;yolov5l;Aerial-martime
59;6;0.831;0.696;0.745;0.415;yolov5m;Aerial-martime
80;18;0.781;0.676;0.718;0.381;yolov5n;Aerial-martime
74;11;0.819;0.675;0.709;0.423;yolov5s;Aerial-martime
40;2;0.83;0.63;0.663;0.372;yolov5x;Aerial-martime
126;17;0.87;0.595;0.73;0.373;yolov7x;Aerial-martime
119;27;0.803;0.6;0.661;0.349;yolov7;Aerial-martime
158;93;0.629;0.624;0.607;0.282;yolov7-tiny;Aerial-martime
33;1;0.791;0.658;0.743;0.434;yolov8x6;Aerial-martime
40;1;0.874;0.649;0.739;0.44;yolov8x;Aerial-martime
68;9;0.825;0.6;0.699;0.48;yolov8s;Aerial-martime
78;17;0.82;0.719;0.778;0.435;yolov8n;Aerial-martime
53;4;0.845;0.693;0.759;0.421;yolov8m;Aerial-martime
37;6;;;0.67;;faster-vgg16;Aerial-martime
50;3;;;0.638;;ssd;Aerial-martime
55;7;0.912;0.835;0.893;0.638;yolov5l;Food
67;12;0.882;0.857;0.899;0.628;yolov5m;Food
100;32;0.842;0.82;0.858;0.581;yolov5n;Food
87;22;0.912;0.878;0.915;0.67;yolov5s;Food
44;6;0.923;0.827;0.883;0.627;yolov5x;Food
476;80;0.832;0.815;0.85;0.58;yolov7x;Food
256;109;0.856;0.845;0.872;0.589;yolov7;Food
277;312;0.873;0.791;0.851;0.55;yolov7-tiny;Food
34;8;0.873;0.879;0.902;0.656;yolov8x6;Food
57;5;0.884;0.854;0.906;0.671;yolov8x;Food
98;19;0.853;0.869;0.899;0.64;yolov8s;Food
112;21;0.843;0.829;0.869;0.624;yolov8n;Food
58;11;0.885;0.848;0.903;0.66;yolov8m;Food
41;6;;;0.878;;faster-vgg16;Food
54;8;;;0.845;;ssd;Food
51;5;0.639;0.609;0.639;0.499;yolov5l;Plantdoc
64;9;0.718;0.578;0.645;0.494;yolov5m;Plantdoc
96;22;0.535;0.501;0.55;0.397;yolov5n;Plantdoc
88;15;0.707;0.575;0.636;0.506;yolov5s;Plantdoc
45;3;0.631;0.593;0.659;0.506;yolov5x;Plantdoc
72;13;0.536;0.634;0.626;0.493;yolov7x;Plantdoc
83;22;0.619;0.583;0.648;0.499;yolov7;Plantdoc
90;56;0.529;0.566;0.608;0.454;yolov7-tiny;Plantdoc
34;3;0.58;0.573;0.609;0.486;yolov8x6;Plantdoc
45;3;0.588;0.575;0.634;0.5;yolov8x;Plantdoc
70;13;0.636;0.538;0.617;0.479;yolov8s;Plantdoc
74;20;0.555;0.521;0.562;0.431;yolov8n;Plantdoc
54;7;0.664;0.58;0.627;0.489;yolov8m;Plantdoc
44;5;;;0.583;;faster-vgg16;Plantdoc
49;7;;;0.6;;ssd;Plantdoc
54;3;0.582;0.337;0.337;0.214;yolov5l;Website Screenshoot
61;5;0.555;0.343;0.335;0.208;yolov5m;Website Screenshoot
92;17;0.525;0.328;0.31;0.174;yolov5n;Website Screenshoot
86;11;0.537;0.34;0.327;0.213;yolov5s;Website Screenshoot
36;2;0.00182;0.0147;0.00103;0.000313;yolov5x;Website Screenshoot
20;3;0.583;0.374;0.38;0.261;yolov7x;Website Screenshoot
19;5;0.407;0.448;0.361;0.2;yolov7;Website Screenshoot
21;15;0.568;0.359;0.331;0.207;yolov7-tiny;Website Screenshoot
33;1;0.419;0.372;0.347;0.252;yolov8x6;Website Screenshoot
40;1;0.547;0.369;0.394;0.285;yolov8x;Website Screenshoot
72;10;0.516;0.375;0.384;0.269;yolov8s;Website Screenshoot
76;17;0.541;0.364;0.377;0.26;yolov8n;Website Screenshoot
54;4;0.508;0.407;0.394;0.283;yolov8m;Website Screenshoot
38;3;;;0.31;;faster-vgg16;Website Screenshoot
52;4;;;0.294;;ssd;Website Screenshoot
55;5;0.99827;0.99794;0.99465;0.98698;yolov5l;Pklot Dataset
83;10;0.99826;0.9983;0.99459;0.98888;yolov5m;Pklot Dataset
322;62;0.99676;0.99436;0.99436;0.94293;yolov5n;Pklot Dataset
156;27;0.99843;0.99809;0.99459;0.98792;yolov5s;Pklot Dataset
29;3;0.9983;0.99847;0.99468;0.99067;yolov5x;Pklot Dataset
25;2;0.9676;0.9856;0.9926;0.8422;yolov7x;Pklot Dataset
41;4;0.9581;0.9747;0.9857;0.7419;yolov7;Pklot Dataset
136;28;0.9529;0.9737;0.9809;0.7023;yolov7-tiny;Pklot Dataset
27;2;0.96868;0.97483;0.99175;0.93734;yolov8x6;Pklot Dataset
32;2;0.98813;0.99199;0.99386;0.94236;yolov8x;Pklot Dataset
131;17;0.96906;0.97499;0.99058;0.89908;yolov8s;Pklot Dataset
263;44;0.96069;0.97686;0.98827;0.84113;yolov8n;Pklot Dataset
72;7;0.96745;0.97815;0.99246;0.90527;yolov8m;Pklot Dataset
31;5;;;0.94054;;faster-vgg16;Pklot Dataset
44;5;;;0.9106;;ssd;Pklot Dataset
54;5;0.85406;0.97049;0.98548;0.6537;yolov5l;Animals
80;11;0.89342;0.92359;0.98548;0.62931;yolov5m;Animals
322;59;0.92499;0.76862;0.9669;0.67063;yolov5n;Animals
