iter	MultiClass
0	2.966908289
1	2.940654061
2	2.912024752
3	2.883709917
4	2.85632533
5	2.830958245
6	2.804914143
7	2.776208792
8	2.748509796
9	2.720849656
10	2.691786833
11	2.663807026
12	2.636778494
13	2.609809542
14	2.582697231
15	2.554950314
16	2.526890213
17	2.501069398
18	2.474177295
19	2.446392249
20	2.424266845
21	2.397496976
22	2.37131152
23	2.345200319
24	2.319186643
25	2.294591178
26	2.270196296
27	2.243926793
28	2.219110885
29	2.194769504
30	2.170372862
31	2.145714872
32	2.120739164
33	2.098588491
34	2.074782421
35	2.050676221
36	2.026457519
37	2.002237695
38	1.981042395
39	1.957374204
40	1.93451548
41	1.912541077
42	1.888674757
43	1.86586878
44	1.844500021
45	1.822683131
46	1.800248886
47	1.778120885
48	1.756273059
49	1.735586602
50	1.715062282
51	1.693727662
52	1.672361239
53	1.65234775
54	1.632071584
55	1.612059909
56	1.591689818
57	1.572223116
58	1.552815227
59	1.53291167
60	1.513848279
61	1.496162906
62	1.476537271
63	1.45771821
64	1.438772748
65	1.420161013
66	1.402105252
67	1.383947151
68	1.366296227
69	1.3482302
70	1.331782016
71	1.315121226
72	1.299053364
73	1.283313899
74	1.268011408
75	1.252289668
76	1.237714588
77	1.223563425
78	1.212466933
79	1.200965318
80	1.191129407
81	1.175682781
82	1.161150016
83	1.148310432
84	1.134652712
85	1.122143157
86	1.109578019
87	1.096904072
88	1.083257843
89	1.077461082
90	1.070491121
91	1.062475092
92	1.050509746
93	1.038271794
94	1.03086171
95	1.018494625
96	1.009644597
97	1.002272649
98	0.9959261505
99	0.9839061674
