iter	Passed	Remaining
0	49	4855
1	50	2470
2	51	1665
3	52	1271
4	53	1025
5	59	932
6	60	804
7	61	708
8	62	636
9	64	576
10	65	529
11	66	487
12	67	451
13	68	421
14	69	396
15	71	372
16	72	351
17	73	333
18	74	318
19	75	303
20	76	287
21	77	276
22	79	264
23	80	254
24	81	243
25	82	234
26	83	225
27	84	217
28	85	209
29	86	201
30	87	194
31	88	187
32	89	181
33	90	176
34	91	170
35	92	165
36	94	160
37	95	155
38	96	150
39	97	145
40	98	141
41	98	136
42	100	132
43	101	128
44	102	125
45	103	121
46	104	117
47	105	114
48	106	111
49	107	107
50	108	104
51	109	101
52	110	98
53	111	95
54	112	92
55	113	89
56	114	86
57	115	83
58	116	81
59	117	78
60	119	76
61	120	73
62	121	71
63	122	68
64	123	66
65	124	64
66	125	61
67	126	59
68	127	57
69	128	55
70	129	52
71	130	50
72	131	48
73	132	46
74	132	44
75	133	42
76	134	40
77	135	38
78	136	36
79	137	34
80	138	32
81	139	30
82	139	28
83	140	26
84	141	24
85	142	23
86	143	21
87	144	19
88	145	17
89	146	16
90	146	14
91	147	12
92	148	11
93	149	9
94	150	7
95	151	6
96	151	4
97	152	3
98	153	1
99	154	0
